Title,Writer,Date Written,Number of Comments,Number of Likes,Link to Article
"MLB The Show 23 Season 4 introduces Snapshot Series, The Great Race of ‘98 Program, and more","Steve PeerSr. Project Manager, San Diego Studio","Date published:August 31, 2023",2,27,https://blog.playstation.com/2023/08/31/mlb-the-show-23-season-4-introduces-snapshot-series-the-great-race-of-98-program-and-more/
A.K.I. slithers into Street Fighter 6 on September 27 – full gameplay details revealed,"Andy WongSr. Manager, Social Media and Community, Capcom","Date published:August 30, 2023",12,86,https://blog.playstation.com/2023/08/30/a-k-i-slithers-into-street-fighter-6-on-september-27-full-gameplay-details-revealed/
"How Tekken 8 harnesses the power of PS5 – out January 26, 2024",Sachie KobariPlayStation.Blog Japan,"Date published:August 29, 2023",12,163,https://blog.playstation.com/2023/08/29/how-tekken-8-harnesses-the-power-of-ps5-out-january-26-2024/
Nour: Play With Your Food is ready to serve PS5 & PS4 on September 12,"Tj HughesCreative Lead, Terrifying Jellyfish","Date published:August 29, 2023",11,112,https://blog.playstation.com/2023/08/29/nour-play-with-your-food-is-ready-to-serve-ps5-ps4-on-september-12/
Share of the Week: Tower of Fantasy,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:August 25, 2023",4,64,https://blog.playstation.com/2023/08/25/share-of-the-week-tower-of-fantasy/
"Fortnite Chapter 4 Season 4: Last Resort arrives today, details revealed","Ryan BrosekerSenior Marketing Manager, Epic Games","Date published:August 25, 2023",3,82,https://blog.playstation.com/2023/08/25/fortnite-chapter-4-season-4-last-resort-arrives-today-details-revealed/
Gran Turismo movie Q&A: Jann Mardenborough’s “gamer to racer” story,"James StavrinidesProject Manager, SIE","Date published:August 24, 2023",11,128,https://blog.playstation.com/2023/08/24/gran-turismo-movie-qa-jann-mardenboroughs-gamer-to-racer-story/
No Man’s Sky celebrates its 7th Anniversary with its largest update of the year: Echoes,"Sean MurrayFounder, Hello Games","Date published:August 24, 2023",20,156,https://blog.playstation.com/2023/08/24/no-mans-sky-celebrates-its-7th-anniversary-with-its-largest-update-of-the-year-echoes/
Hands-on report – Persona 5 Tactica and Persona 3 Reload,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:August 23, 2023",3,61,https://blog.playstation.com/2023/08/23/hands-on-report-persona-5-tactica-and-persona-3-reload/
Hands-on report – Like a Dragon Gaiden: The Man Who Erased His Name and exploring the Castle,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:August 23, 2023",2,70,https://blog.playstation.com/2023/08/23/hands-on-report-like-a-dragon-gaiden-the-man-who-erased-his-name-and-exploring-the-castle/
Mortal Kombat 1’s new Invasion mode is a board game-like RPG,De’Angelo EppsPlayStation Blog Correspondent,"Date published:August 23, 2023",9,108,https://blog.playstation.com/2023/08/23/mortal-kombat-1s-new-invasion-mode-is-a-board-game-like-rpg/
Hands-on report – Granblue Fantasy: Relink hits PS5 & PS4 Feb 1,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:August 22, 2023",3,91,https://blog.playstation.com/2023/08/22/hands-on-report-granblue-fantasy-relink-hits-ps5-ps4-feb-1/
Little Nightmares III introduces co-op to the franchise,"Maya ZianiCommunity Specialist, Bandai Namco Europe","Date published:August 22, 2023",7,190,https://blog.playstation.com/2023/08/22/little-nightmares-iii-introduces-co-op-to-the-franchise/
Destiny 2: The Final Shape and Season of the Witch full details revealed,"Brian EkbergEditorial Lead, Bungie","Date published:August 22, 2023",4,90,https://blog.playstation.com/2023/08/22/destiny-2-the-final-shape-and-season-of-the-witch-full-details-revealed/
"Firewall Ultra launches this week, get a preview of the post-launch roadmap","David JagneauxStrategic Communications Manager, First Contact Entertainment","Date published:August 22, 2023",15,109,https://blog.playstation.com/2023/08/22/firewall-ultra-launches-this-week-get-a-preview-of-the-post-launch-roadmap/
Interview with the creators of Armored Core VI Fires of Rubicon,Sachie KobariPlayStation.Blog Japan,"Date published:August 21, 2023",5,111,https://blog.playstation.com/2023/08/21/interview-with-the-creators-of-armored-core-vi-fires-of-rubicon/
How new NBA 2K24 gameplay features improve newcomer experience – out Sep 8 on PS5 and PS4,Justin CorriePlayStation Blog Correspondent,"Date published:August 21, 2023",12,57,https://blog.playstation.com/2023/08/21/how-new-nba-2k24-gameplay-features-improve-newcomer-experience-out-sep-8-on-ps5-and-ps4/
"Hands-on report: Metal Gear Solid: Master Collection Vol.1, Super Crazy Rhythm Castle, and more","Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:August 21, 2023",14,94,https://blog.playstation.com/2023/08/21/hands-on-report-metal-gear-solid-master-collection-vol-1super-crazy-rhythm-castle-and-more/
Share of the Week: Heartbreaking,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:August 18, 2023",3,53,https://blog.playstation.com/2023/08/18/share-of-the-week-heartbreaking/
Call of Duty: Modern Warfare III gameplay details revealed,"Daniel NoelWriter, Activision","Date published:August 17, 2023",16,106,https://blog.playstation.com/2023/08/17/call-of-duty-modern-warfare-iii-gameplay-details-revealed/
Experience The First Descendant open beta with immersive DualSense controller features,"Beomjun LeeThe First Descendant’s Producer, Nexon Games","Date published:August 17, 2023",13,188,https://blog.playstation.com/2023/08/17/experience-the-first-descendant-open-beta-with-immersive-dualsense-controller-features/
EA Sports NHL 24 hits PS5 & PS4 on October 6,"Spenser DavisSenior Writer, EA SPORTS","Date published:August 16, 2023",7,47,https://blog.playstation.com/2023/08/16/ea-sports-nhl-24-hits-ps5-ps4-on-october-6/
Megadeth comes to World of Warships and World of Tanks this month,"Sheila JohnsonContent Writer, Wargaming","Date published:August 16, 2023",3,39,https://blog.playstation.com/2023/08/16/megadeth-comes-to-world-of-warships-and-world-of-tanks-this-month/
"Designing Moving Out 2 to be more fun, diverse and inclusive","Dave LockmanSenior Game Designer, SMG Studio","Date published:August 14, 2023",6,39,https://blog.playstation.com/2023/08/14/designing-moving-out-2-to-be-more-fun-diverse-and-inclusive/
"THQ Nordic Showcase 2023 recap – TMNT: The Last Ronin, South Park: Snow Day, Alone in the Dark, and more","Tom MooreMarketing Manager, THQ Nordic","Date published:August 11, 2023",9,97,https://blog.playstation.com/2023/08/11/thq-nordic-showcase-2023-recap-tmnt-the-last-ronin-south-park-snow-day-alone-in-the-dark-and-more/
Share of the Week: Heartwarming,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:August 11, 2023",2,61,https://blog.playstation.com/2023/08/11/share-of-the-week-heartwarming/
Everspace 2’s immersive features allow captivating interstellar travel – out Aug 15,"Lee GuilleCommunications & PR Director, Rockfish Games","Date published:August 11, 2023",5,62,https://blog.playstation.com/2023/08/11/everspace-2s-immersive-features-allow-captivating-interstellar-travel-out-aug-15/
Fast-paced brawls await on Suravasa in Overwatch 2: Invasion-available now,"Craig SimpsonCommunity Specialist, Blizzard Entertainment","Date published:August 10, 2023",0,37,https://blog.playstation.com/2023/08/10/fast-paced-brawls-await-on-suravasa-in-overwatch-2-invasion-available-now/
Quake II returns to PlayStation today with new content and enhancements,"Parker Wilhelm (he/him)Marketing Content Manager, Bethesda Softworks","Date published:August 10, 2023",16,85,https://blog.playstation.com/2023/08/10/quake-ii-returns-to-playstation-today-with-new-content-and-enhancements/
New Lords of the Fallen gameplay details highlight fluid soulsike combat and seamless co-op – out Oct 13,"CallumSocial Media & Community Manager, CI Games","Date published:August 10, 2023",4,94,https://blog.playstation.com/2023/08/10/new-lords-of-the-fallen-gameplay-details-highlight-fluid-soulsike-combat-and-seamless-co-op-out-oct-13/
Players’ Choice: Naraka: Bladepoint voted July’s best new game,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:August 9, 2023",13,120,https://blog.playstation.com/2023/08/09/players-choice-vote-for-julys-best-new-game/
Tekken 8 welcomes Azucena and Raven,"Kohei IkedaTekken 8 Director, Bandai Namco Studios","Date published:August 6, 2023",10,115,https://blog.playstation.com/2023/08/06/tekken-8-welcomes-azucena-and-raven/
Genshin Impact version 4.0 launches August 16 – first details,"Zhenzhong YiStudio Technical Director, HoYoverse","Date published:August 4, 2023",6,107,https://blog.playstation.com/2023/08/04/genshin-impact-version-4-0-launches-august-16-first-details/
"Gran Turismo 7 Update 1.36 adds 4 new cars, three Extra Menus, and a Gran Turismo movie experience","Ken ChanSr Product Manager, SIE","Date published:August 4, 2023",23,151,https://blog.playstation.com/2023/08/04/gran-turismo-7-update-1-36-adds-4-new-cars-three-extra-menus-and-a-gran-turismo-movie-experience/
How Dreams Tren update was inspired by a childhood spent playing with trains – live today,"Liam WisemanOnline Content Editor, Media Molecule","Date published:August 1, 2023",4,97,https://blog.playstation.com/2023/08/01/how-dreams-tren-update-was-inspired-by-a-childhood-spent-playing-with-trains-live-today/
Revealing Jackbox Party Pack 10’s first-ever music game – Dodo Re Mi,"Michelle LeatherbySenior Marketing Lead, Jackbox Games","Date published:August 1, 2023",0,56,https://blog.playstation.com/2023/08/01/revealing-jackbox-party-pack-10s-first-ever-music-game-dodo-re-mi/
The evolution of the Mortal Kombat series,De’Angelo EppsPlayStation Blog Correspondent,"Date published:August 1, 2023",13,115,https://blog.playstation.com/2023/08/01/the-evolution-of-the-mortal-kombat-series/
Wield powerful mindflayer powers in Baldur’s Gate 3 – skills explained,"Emily GeraProduct Manager, Larian Studios","Date published:July 31, 2023",2,98,https://blog.playstation.com/2023/07/31/wield-powerful-mindflayer-powers-in-baldurs-gate-3-skills-explained/
"PS5 beta rolls out today with new accessibility and audio options, social features, and UI enhancements","Hideaki NishinoSenior Vice President, Platform Experience, SIE","Date published:July 31, 2023",299,641,https://blog.playstation.com/2023/07/31/ps5-beta-rolls-out-today-with-new-accessibility-and-audio-options-social-features-and-ui-enhancements/
Share of the Week: Pink,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:July 28, 2023",1,49,https://blog.playstation.com/2023/07/28/share-of-the-week-pink/
"Full intel on Call of Duty: Modern Warfare II and Warzone Season 05, out August 2","Daniel NoelWriter, Activision","Date published:July 27, 2023",4,64,https://blog.playstation.com/2023/07/27/full-intel-on-call-of-duty-modern-warfare-ii-and-warzone-season-05-out-august-2/
Everything happening at Evo 2023,"Louis FigueroaSr. Director, Global Esports and Competitive Gaming, SIE","Date published:July 27, 2023",4,74,https://blog.playstation.com/2023/07/27/everything-happening-at-evo-2023/
Ratchet & Clank: Rift Apart is out now on PC – what to expect,"Julian HuijbregtsOnline Community Specialist, Nixxes Software","Date published:July 26, 2023",30,48,https://blog.playstation.com/2023/07/26/ratchet-clank-rift-apart-is-out-now-on-pc-what-to-expect/
13 unmissable games launching in the second half of 2023,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:July 26, 2023",36,207,https://blog.playstation.com/2023/07/26/13-unmissable-games-launching-in-the-second-half-of-2023/
Tower of Fantasy releases on PS5 August 8 – what to expect in the open-world RPG,"Sky WangLead Designer, Perfect World Games","Date published:July 25, 2023",8,67,https://blog.playstation.com/2023/07/25/tower-of-fantasy-releases-on-ps5-august-8-what-to-expect-in-the-open-world-rpg/
Armored Core VI hands-on: A triumphant return to FromSoftware’s past,De’Angelo EppsPlayStation Blog Correspondent,"Date published:July 25, 2023",4,115,https://blog.playstation.com/2023/07/25/armored-core-vi-hands-on-a-triumphant-return-to-fromsoftwares-past/
Sea of Stars available launch day as a PlayStation Plus Game Catalog title August 29 – demo out today,"Philippe DionneLevel Designer, Sabotage Studio","Date published:July 25, 2023",15,140,https://blog.playstation.com/2023/07/25/sea-of-stars-available-launch-day-as-a-playstation-plus-game-catalog-title-august-29-demo-out-today/
Share of the Week: Noir,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:July 21, 2023",4,69,https://blog.playstation.com/2023/07/21/share-of-the-week-noir/
Upcoming indies from Team 17 – hands-on details,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:July 21, 2023",8,89,https://blog.playstation.com/2023/07/21/upcoming-indies-from-team-17-hands-on-details/
Marvel’s Spider-Man 2: New Story Trailer,"James StevensonCommunity Director, Insomniac Games","Date published:July 20, 2023",26,389,https://blog.playstation.com/2023/07/20/marvels-spider-man-2-new-story-trailer/
First Look: PS5 Console – Marvel’s Spider-Man 2 Limited Edition Bundle,"Andrea PerezSenior Vice President, Brand, Product & Services Marketing","Date published:July 20, 2023",136,"1,251",https://blog.playstation.com/2023/07/20/first-look-ps5-console-marvels-spider-man-2-limited-edition-bundle/
Learn how Wayfinder takes colorful heroes from pages to play – Early Access begins August 15,"Nerium StromContent Marketing Manager, Digital Extremes","Date published:July 20, 2023",3,53,https://blog.playstation.com/2023/07/20/learn-how-wayfinder-takes-colorful-heroes-from-pages-to-play-early-access-begins-august-15/
"Inside Goodbye Volcano High’s creative process, out August 29",Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:July 20, 2023",4,73,https://blog.playstation.com/2023/07/20/inside-goodbye-volcano-highs-creative-process-out-august-29/
FFXVI composer Masayoshi Soken’s exclusive look at the soundtrack,"Masayoshi SokenMain Composer, Final Fantasy XVI","Date published:July 19, 2023",8,173,https://blog.playstation.com/2023/07/19/ffxvi-composer-masayoshi-sokens-exclusive-look-at-the-soundtrack/
A new era begins: EA Sports FC 24 launches September 29 on PS4 and PS5,Ulrich WimmerothPS Blog Correspondent,"Date published:July 18, 2023",5,75,https://blog.playstation.com/2023/07/18/a-new-era-begins-ea-sports-fc-24-launches-september-29-on-ps4-and-ps5/
Explore the corruption of Diablo IV’s Malignant Hearts through its effects on Sanctuary,"Joseph PiepioraAssociate Game Director, Blizzard Entertainment","Date published:July 18, 2023",5,37,https://blog.playstation.com/2023/07/18/explore-the-corruption-of-diablo-ivs-malignant-hearts-through-its-effects-on-sanctuary/
Ratchet & Clank: Rift Apart PC specs and new features revealed,"Julian HuijbregtsOnline Community Specialist, Nixxes Software","Date published:July 18, 2023",84,77,https://blog.playstation.com/2023/07/18/ratchet-clank-rift-apart-pc-specs-and-new-features-revealed/
"Reshape reality with your perspective in Viewfinder, out today","Gwen FosterDirector, Sad Owl Studios","Date published:July 18, 2023",1,56,https://blog.playstation.com/2023/07/18/reshape-reality-with-your-perspective-in-viewfinder-out-today/
Share of the Week: Heroes,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:July 14, 2023",1,83,https://blog.playstation.com/2023/07/14/share-of-the-week-heroes/
PlayStation Store’s Summer Sale starts July 19,Peter BodaAssociate Digital Promotions Manager,"Date published:July 14, 2023",25,283,https://blog.playstation.com/2023/07/14/playstation-stores-summer-sale-starts-july-19/
"Prepare for Call of Duty: Modern Warfare II and Call of Duty: Warzone Season 04 Reloaded, out July 12","Daniel NoelWriter, Activision","Date published:July 10, 2023",17,46,https://blog.playstation.com/2023/07/10/prepare-for-call-of-duty-modern-warfare-ii-and-call-of-duty-warzone-season-04-reloaded-out-july-12/
Introducing fully customizable Origin character The Dark Urge in Baldur’s Gate 3,"Emily GeraProduct Manager, Larian Studios","Date published:July 7, 2023",9,122,https://blog.playstation.com/2023/07/07/introducing-fully-customizable-origin-character-the-dark-urge-in-baldurs-gate-3/
Share of the Week: Final Fantasy XVI,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:July 7, 2023",2,92,https://blog.playstation.com/2023/07/07/share-of-the-week-final-fantasy-xvi/
"MLB The Show 23 Season 3 brings All-Star content and rewards, live today","Steve PeerSr. Project Manager, San Diego Studio","Date published:July 7, 2023",1,43,https://blog.playstation.com/2023/07/07/mlb-the-show-23-season-3-brings-all-star-content-and-rewards-live-today/
First details on Helldivers 2 co-op and combat gameplay,"Katherine BaskinSocial Media and Community Manager, Arrowhead Game Studios","Date published:July 6, 2023",25,209,https://blog.playstation.com/2023/07/06/first-details-on-helldivers-2-co-op-and-combat-gameplay/
Naraka: Bladepoint’s new take on battle royale is coming to PS5 on July 13,"Yongcheng LiuNaraka: Bladepoint PS5 Version Lead Producer, NetEase Games","Date published:July 5, 2023",9,98,https://blog.playstation.com/2023/07/05/naraka-bladepoints-new-take-on-battle-royale-is-coming-to-ps5-on-july-13/
Rashid soars into Street Fighter 6 on July 24,"Andy WongSr. Manager, Social Media and Community, Capcom","Date published:July 5, 2023",15,95,https://blog.playstation.com/2023/07/05/rashid-soars-into-street-fighter-6-on-july-24/
PixelJunk Eden 2 swings onto PlayStation 5,Dylan CuthbertGame Director and CEO @ Q-Games,"Date published:July 5, 2023",15,75,https://blog.playstation.com/2023/07/05/pixeljunk-eden-2-swings-onto-playstation-5/
Share of the Week: Joel and Ellie,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:June 30, 2023",7,102,https://blog.playstation.com/2023/06/30/share-of-the-week-joel-and-ellie/
New Fate/Samurai Remnant gameplay showcases a spectacular fight for The Holy Grail,"Ryota MatsushitaFate/Samurai Remnant Director, Koei Tecmo Games","Date published:June 30, 2023",3,85,https://blog.playstation.com/2023/06/30/new-fate-samurai-remnant-gameplay-showcases-a-spectacular-fight-for-the-holy-grail/
Scorn creeps on to PlayStation 5 later this year,"Jovan VučkovićTechnical Artist, Ebb Software","Date published:June 29, 2023",12,123,https://blog.playstation.com/2023/06/29/scorn-creeps-on-to-playstation-5-later-this-year/
"New details on Baldur’s Gate 3 character creation and companions, out September 6","Emily GeraProduct Manager, Larian Studios","Date published:June 29, 2023",20,250,https://blog.playstation.com/2023/06/29/new-details-on-baldurs-gate-3-character-creation-and-companions-out-september-6/
"Gran Turismo 7 Update 1.35 adds 3 exciting new cars, GT Café Menus, and more – out today","Ken ChanSr Product Manager, SIE","Date published:June 28, 2023",16,101,https://blog.playstation.com/2023/06/28/gran-turismo-7-update-1-35-adds-3-exciting-new-cars-gt-cafe-menus-and-more-out-today/
Meet Your Maker’s Sector 1: Dreadshore DLC launches tomorrow,"Justin FragapaneLead Content Strategist, Behaviour Interactive","Date published:June 26, 2023",1,46,https://blog.playstation.com/2023/06/26/meet-your-makers-sector-1-dreadshore-dlc-launches-tomorrow/
How Bonsai Collective brought the characters of Luna Abyss to life,"Laura MauroSenior Writer, Bonsai Collective","Date published:June 26, 2023",1,49,https://blog.playstation.com/2023/06/26/how-bonsai-collective-brought-the-characters-of-luna-abyss-to-life/
Share of the Week: The Last of Us,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:June 23, 2023",4,53,https://blog.playstation.com/2023/06/23/share-of-the-week-the-last-of-us-2/
The Callisto Protocol returns with Final Transmission DLC – first gameplay details revealed,"D. A. SalisburySenior Global Brand Manager, Krafton Inc.","Date published:June 22, 2023",13,140,https://blog.playstation.com/2023/06/22/the-callisto-protocol-returns-with-final-transmission-dlc-first-gameplay-details-revealed/
How Final Fantasy XVI respects the series’ past and embraces the future,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:June 21, 2023",20,273,https://blog.playstation.com/2023/06/21/how-final-fantasy-xvi-respects-the-series-past-and-embraces-the-future/
"Throwdown with Catbat, N. Brio, and N. Tropy in Crash Team Rumble","Daniel NoelWriter, Activision","Date published:June 20, 2023",3,45,https://blog.playstation.com/2023/06/20/throwdown-with-catbat-n-brio-and-n-tropy-in-crash-team-rumble/
How Eternights intertwines its dating and hack ‘n’ slash gameplay,"Jae YooFounder, Studio Sai","Date published:June 20, 2023",3,83,https://blog.playstation.com/2023/06/20/how-eternights-intertwines-its-dating-and-hack-n-slash-gameplay/
How Harmony: The Fall of Reverie’s Augural system brings the magic of clairvoyance to your choices,"Maxime MozeLead Game Designer, DON’T NOD","Date published:June 20, 2023",0,31,https://blog.playstation.com/2023/06/20/how-harmony-the-fall-of-reveries-augural-system-brings-the-magic-of-clairvoyance-to-your-choices/
"Tower of Fantasy launches on Aug 8, new character Liu Huo revealed","Sky WangLead Designer, Perfect World Games","Date published:June 19, 2023",12,55,https://blog.playstation.com/2023/06/19/tower-of-fantasy-launches-on-aug-8-new-character-liu-huo-revealed/
How Coin Crew entered digital gaming with Escape Academy,Blair Lachlan ScottWriter & Producer at Coin Crew Games,"Date published:June 16, 2023",3,26,https://blog.playstation.com/2023/06/16/how-coin-crew-entered-digital-gaming-with-escape-academy/
The Elder Scrolls Online developer reveals the Arcanist class’ new skill lines,"Dominic DaviesLead Content Manager, Zenimax Online Studios","Date published:June 15, 2023",2,29,https://blog.playstation.com/2023/06/15/the-elder-scrolls-online-developer-reveals-the-arcanist-class-new-skill-lines/
MLB The Show 23 brings Negro Leagues Baseball Museum and June live content info,"Steve PeerSr. Project Manager, San Diego Studio","Date published:June 15, 2023",3,39,https://blog.playstation.com/2023/06/15/mlb-the-show-23-brings-negro-leagues-baseball-museum-and-june-live-content-info/
Rogue Legacy 2 comes to PlayStation Plus Game Catalog on June 20,"Teddy LeeGame Designer, Cellar Door Games","Date published:June 14, 2023",4,68,https://blog.playstation.com/2023/06/14/rogue-legacy-2-comes-to-playstation-plus-game-catalog-on-june-20/
Sonic Superstars modernizes a classic formula – hands-on gameplay report,De’Angelo EppsPlayStation Blog Correspondent,"Date published:June 13, 2023",13,137,https://blog.playstation.com/2023/06/13/sonic-superstars-modernizes-a-classic-formula-hands-on-gameplay-report/
Summer Game Fest 2023: Hands-on highlights with 8 upcoming PlayStation titles,De’Angelo EppsPlayStation Blog Correspondent,"Date published:June 13, 2023",9,90,https://blog.playstation.com/2023/06/13/summer-game-fest-2023-hands-on-highlights-with-8-upcoming-playstation-titles/
"Capcom Showcase recap: Pragmata, Dragon’s Dogma 2, Exoprimal and more","Joseph BustosSocial Media and Community Manager, Capcom USA","Date published:June 12, 2023",9,92,https://blog.playstation.com/2023/06/12/capcom-showcase-recap-pragmata-dragons-dogma-2-exoprimal-and-more/
"How Avatar: Frontiers of Pandora immerses players in Pandora, launching December 7","Lucy O’BrienDirector, Editorial Communications, Ubisoft","Date published:June 12, 2023",8,106,https://blog.playstation.com/2023/06/12/how-avatar-frontiers-of-pandora-immerses-players-in-pandora-launching-december-7/
How Santa Monica Studio evolved Atreus’ bow wielding in God of War Ragnarök,Justin CorriePlayStation Blog Correspondent,"Date published:June 12, 2023",3,103,https://blog.playstation.com/2023/06/12/how-santa-monica-studio-evolved-atreus-bow-wielding-in-god-of-war-ragnarok/
The story of Venba’s culinary and cultural roots from Creative Director Abhi,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:June 12, 2023",3,54,https://blog.playstation.com/2023/06/12/the-story-of-venbas-culinary-and-cultural-roots-from-creative-director-abhi/
"Tower of Fantasy introduces a highly-stylized Eastern magical world, coming this summer to PlayStation","Sky WangLead Designer, Perfect World Games","Date published:June 12, 2023",14,185,https://blog.playstation.com/2023/06/12/tower-of-fantasy-introduces-a-highly-stylized-eastern-magical-world-coming-this-summer-to-playstation/
Final Fantasy XVI demo launches tomorrow,"Clara Hertzog (she/her)Content Communications Specialist, PlayStation","Date published:June 11, 2023",16,212,https://blog.playstation.com/2023/06/11/final-fantasy-xvi-demo-launches-tomorrow/
Mortal Kombat 1: PS5 hands-on report and Ed Boon Q&A,"Sid Shuman (he/him)Senior Director, SIE Content Communications","Date published:June 9, 2023",12,122,https://blog.playstation.com/2023/06/09/mortal-kombat-1-ps5-hands-on-report-and-ed-boon-qa/
Share of the Week: Tropical,"Kristen Zitani (she/her)Content Communications Specialist, SIE","Date published:June 9, 2023",1,54,https://blog.playstation.com/2023/06/09/share-of-the-week-tropical/
The Wilds await in Fortnite Battle Royale Chapter 4 Season 3,"Ryan BrosekerSenior Marketing Manager, Epic Games","Date published:June 9, 2023",5,76,https://blog.playstation.com/2023/06/09/the-wilds-await-in-fortnite-battle-royale-chapter-4-season-3/
Remnant II arrives on PS5 July 25,"John PearlDesign Director, Gunfire Games","Date published:June 8, 2023",5,59,https://blog.playstation.com/2023/06/08/remnant-ii-arrives-on-ps5-july-25/
"Marvel’s Spider-Man 2 arrives only on PS5 October 20, Collector’s & Digital Deluxe Editions detailed","James StevensonCommunity Director, Insomniac Games","Date published:June 8, 2023",257,"1,437",https://blog.playstation.com/2023/06/08/marvels-spider-man-2-arrives-only-on-ps5-october-20-collectors-digital-deluxe-editions-detailed/
"Lies of P demo available today, contains first two chapters","Ji Won ChoiProject Director, NEOWIZ","Date published:June 8, 2023",10,92,https://blog.playstation.com/2023/06/08/lies-of-p-demo-available-today-contains-first-two-chapters/
"Create, destroy, and rewind in Viewfinder, out July 18 – play the demo today","Gwen FosterDirector, Sad Owl Studios","Date published:June 8, 2023",7,67,https://blog.playstation.com/2023/06/08/create-destroy-and-rewind-in-viewfinder-out-july-18-play-the-demo-today/
AK-xolotl – the cute-but-deadly roguelite shooter hits PlayStation this fall,"Wout van HalderenPR Manager, Playstack","Date published:June 7, 2023",3,55,https://blog.playstation.com/2023/06/07/ak-xolotl-the-cute-but-deadly-roguelite-shooter-hits-playstation-this-fall/
"New battlegrounds arrive in Call of Duty: Modern Warfare II and Warzone Season 04, live June 14","Daniel NoelWriter, Activision","Date published:June 7, 2023",5,41,https://blog.playstation.com/2023/06/07/new-battlegrounds-arrive-in-call-of-duty-modern-warfare-ii-and-warzone-season-04-live-june-14/
F1 Manager 23 – Five exciting new features hit the track July 31,"Steve JamesCommunity Manager, Frontier Developments","Date published:June 7, 2023",1,28,https://blog.playstation.com/2023/06/07/f1-manager-23-five-exciting-new-features-hit-the-track-july-31/
Synapse hands-on report: an artistic PS VR2 shooter that puts the power of telekinesis in your hand,"Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:June 7, 2023",8,99,https://blog.playstation.com/2023/06/07/synapse-hands-on-report-an-artistic-ps-vr2-shooter-that-puts-the-power-of-telekinesis-in-your-hand/
PlayStation Store: May 2023’s top downloads,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:June 6, 2023",7,91,https://blog.playstation.com/2023/06/06/playstation-store-may-2023s-top-downloads/
Players’ Choice: Humanity voted May’s best new game,"O’Dell Harmon Jr. (he/him)Specialist, Content Communications, SIE","Date published:June 6, 2023",17,103,https://blog.playstation.com/2023/06/06/players-choice-vote-for-mays-best-new-game-3/
Three of Diablo IV’s developers’ favorite builds to explore the abyss,"Clara Hertzog (she/her)Content Communications Specialist, PlayStation","Date published:June 5, 2023",4,46,https://blog.playstation.com/2023/06/05/three-of-diablo-ivs-developers-favorite-builds-to-explore-the-abyss/
"Diablo IV interview: Paragon system, PvP, replayability and more",Justin CorriePlayStation Blog Correspondent,"Date published:June 2, 2023",7,62,https://blog.playstation.com/2023/06/02/diablo-iv-interview-paragon-system-pvp-replayability-and-more/
How Cammy and the classic cast got their Street Fighter 6 glow-ups,Heidi Kemps (she/her)PlayStation Blog Correspondent,"Date published:May 31, 2023",33,130,https://blog.playstation.com/2023/05/31/how-cammy-and-the-classic-cast-got-their-street-fighter-6-glow-ups/
Immortals of Aveum hands-on – new gameplay details,Justin CorriePlayStation Blog Correspondent,"Date published:May 31, 2023",4,54,https://blog.playstation.com/2023/05/31/immortals-of-aveum-hands-on-new-gameplay-details/
"Charge into battle in Battlefield 2042 – Season 5: New Dawn, deploying June 7","Ellie DaySenior Writer, EA","Date published:May 26, 2023",8,60,https://blog.playstation.com/2023/05/26/charge-into-battle-in-battlefield-2042-season-5-new-dawn-deploying-june-7/
Alone in the Dark Spotlight – Hollywood talent and new gameplay,"Tom MooreMarketing Manager, THQ Nordic","Date published:May 25, 2023",7,103,https://blog.playstation.com/2023/05/25/alone-in-the-dark-spotlight-hollywood-talent-and-new-gameplay/
Aliens: Dark Descent combines horror and strategy to create a bone-chilling tactical thriller,Romain ClavierGame Director and Head of Tindalos Interactive,"Date published:May 25, 2023",7,71,https://blog.playstation.com/2023/05/25/aliens-dark-descent-combines-horror-and-strategy-to-create-a-bone-chilling-tactical-thriller/
PlayStation Showcase recap: everything announced at today’s show,"Gillen McAllister (he/him)Manager, Content Communications, SIE","Date published:May 24, 2023",79,235,https://blog.playstation.com/2023/05/24/playstation-showcase-recap-everything-announced-at-todays-show/
