Game_Title,Genres,Developers,Publishers,Release_date
Enchanted Portals,Run and gun,Xixo Games Studio,Xixo Games Studio,9/8/2023
Endless Dungeon,Roguelike,Amplitude Studios,Sega,10/19/2023
Endling: Extinction is Forever,"Adventure video game
Survival game",Herobeat Studios,HandyGames,11/3/2022
Enlisted,First-person shooter,Darkflow Software,Gaijin Entertainment,3/2/2021
Escape from Life Inc,Adventure,Sometimes You,Sometimes You,3/30/2021
Ever Forward,Puzzle adventure,Pathea Games,PM Studios,8/10/2021
Evergate,Puzzle-platform,Stone Lantern Games,PQube,6/4/2021
Evil Dead: The Game,Survival horror,Saber Interactive,Boss Team Games,5/13/2022
Evil Genius 2: World Domination,"Real-time strategy
simulation",Rebellion Developments,Rebellion Developments,11/30/2021
Evil West,Action-adventure,Flying Wild Hog,Focus Home Interactive,11/22/2022
Exophobia,First-person shooter,Zarc Attack,PM Studios,10/5/2021
Exoprimal,"Survival horror
third-person shooter",Capcom,Capcom,7/14/2023
F1 2021,Racing,Codemasters,Electronic Arts,7/16/2021
F1 22,Racing,Codemasters,Electronic Arts,7/1/2022
F1 23,Racing,Codemasters,Electronic Arts,6/16/2023
F1 Manager 2022,Business simulation,Frontier Developments,Frontier Developments,8/30/2022
The Falconeer: Warrior Edition,Aerial combat,Tomas Sala,Wired Productions,8/5/2021
Fall Guys,"Battle royale
platform",Mediatonic,Epic Games,6/21/2022
Far Cry 6,First-person shooter,Ubisoft Toronto,Ubisoft,10/7/2021
Farming Simulator 22,Simulation,Giants Software,Giants Software,11/22/2021
Fatal Frame: Maiden of Black Water,Survival horror,Koei Tecmo,Koei Tecmo,10/28/2021
Fatal Frame: Mask of the Lunar Eclipse,Survival horror,"Koei Tecmo
Grasshopper Manufacture",Koei Tecmo,3/9/2023
FIFA 21,Sports,EA Vancouver,Electronic Arts,12/4/2020
FIFA 22,Sports,EA Vancouver,Electronic Arts,10/1/2021
FIFA 23,Sports,EA Vancouver,Electronic Arts,9/30/2022
FC 24,Sports,EA Vancouver,EA Sports,9/29/2023
Final Fantasy VII Rebirth,Action role-playing,Square Enix,Square Enix,2/29/2024
Final Fantasy VII Remake Intergrade,Action role-playing,Square Enix,Square Enix,6/10/2021
Final Fantasy XIV,Massively multiplayer online role-playing,Square Enix,Square Enix,5/25/2021
Final Fantasy XVI,Action role-playing,Square Enix,Square Enix,6/22/2023
First Class Trouble,"Party
social deduction",Invisible Walls,Versus Evil,11/2/2021
F.I.S.T.: Forged In Shadow Torch,Action,TiGames,Bilibili,9/7/2021
Five Nights at Freddy's: Security Breach,Survival horror,Steel Wool Studios,ScottGames,12/16/2021
Foamstars,Action,Square Enix,Square Enix,2/6/2024
Fobia: St. Dinfna Hotel,Psychological horror,Pulsatrix Studios,Maximum Games,6/28/2022
Football Manager 2023,Sports,Sports Interactive,Sega,2/1/2023
Foreclosed,Action-adventure,Antab,Merge Games,8/12/2021
Forspoken,Action role-playing,Luminous Productions,Square Enix,1/24/2023
Fortnite,"Battle royale
sandbox
survival",Epic Games,Epic Games,11/12/2020
Freddy Spaghetti,"Action-adventure
simulation",Playful Pasta,Ratalaika Games,12/16/2020
Freedom Planet 2,Platform,GalaxyTrail,GalaxyTrail,12/1/2023
Fuga: Melodies of Steel,Tactical role-playing,CyberConnect2,CyberConnect2,7/29/2021
Fuga: Melodies of Steel 2,Tactical role-playing,CyberConnect2,CyberConnect2,5/11/2023
Genshin Impact,Action role-playing,miHoYo,miHoYo,4/28/2021
Ghost of Tsushima Director's Cut,Action-adventure,Sucker Punch Productions,Sony Interactive Entertainment,8/20/2021
Ghost of Tsushima: Legends,Action-adventure,Sucker Punch Productions,Sony Interactive Entertainment,9/3/2021
Ghostrunner,"Action
platform",One More Level,"All in! Games
505 Games",9/28/2021
Ghostrunner 2,"Action
platform",One More Level,505 Games,10/26/2023
Ghostwire: Tokyo,Action-adventure,Tango Gameworks,Bethesda Softworks,3/25/2022
Godfall,Action role-playing,Counterplay Games,Gearbox Publishing,11/12/2020
God of War Ragnarök,"Action-adventure
hack and slash",Santa Monica Studio,Sony Interactive Entertainment,11/9/2022
Goonya Fighter: Purupuru Shokkan Edition,"Fighting
party",Mutan,Mutan,11/12/2020
Goodbye Volcano High,Adventure,KO_OP,KO_OP,8/29/2023
Gotham Knights,Action-adventure,WB Games Montréal,WB Games,10/25/2022
Gothic Remake,Action role-playing,THQ Nordic Barcelona,THQ Nordic,10/25/2023
Gran Turismo 7,"Racing
simulation",Polyphony Digital,Sony Interactive Entertainment,3/4/2022
Granblue Fantasy: Relink,Action role-playing,Cygames,Cygames,1/28/2024
Granblue Fantasy Versus: Rising,Fighting,Arc System Works,Cygames,12/11/2023
GraviFire,Puzzle,Potata Company,Sometimes You,3/2/2021
Grand Theft Auto Online,Action-adventure,Rockstar North,Rockstar Games,3/15/2022
Grand Theft Auto: The Trilogy – The Definitive Edition,Action-adventure,Grove Street Games,Rockstar Games,11/11/2021
Grand Theft Auto V,Action-adventure,Rockstar North,Rockstar Games,3/15/2022
Graven,"Action-adventure
first-person shooter",Slipgate Ironworks,"3D Realms
1C Entertainment",1/23/2024
GraviFire,Puzzle,Potata Company,Sometimes You,3/3/2021
GreedFall,Action-role playing,Spiders,Focus Home Interactive,6/30/2021
Grid Legends,Racing,Codemasters,Electronic Arts,2/25/2022
Marvel's Guardians of the Galaxy,Action-adventure,Eidos-Montréal,Square Enix,10/26/2021
Guilty Gear Strive,Fighting,Arc System Works,Arc System Works,6/11/2021
Gungrave G.O.R.E.,Third-person shooter,Iggymob,Prime Matter,11/22/2022
Gunvolt Chronicles Luminous Avenger iX 2,Platform,Inti Creates,Inti Creates,1/27/2022
Hades,Action role-playing,Supergiant Games,Supergiant Games,8/13/2021
Haven,"Role-playing
adventure",The Game Bakers,The Game Bakers,12/3/2020
Heavenly Bodies,Space station simulation,2pt Interactive,2pt Interactive,12/7/2021
Helldivers II,Third-person shooter,Arrowhead Game Studios,Sony Interactive Entertainment,2/8/2024
Hell Let Loose,First-person shooter,Black Matter,Team17,10/5/2021
Hellpoint,Action role-playing,Cradle Games,TinyBuild,7/12/2022
Hitman 3,Stealth,IO Interactive,IO Interactive,1/20/2021
Hogwarts Legacy,Action role-playing,Avalanche Software,Portkey Games,2/10/2023
Hood: Outlaws & Legends,Action-adventure,Sumo Digital,Focus Home Interactive,5/10/2021
Horizon Forbidden West,Action role-playing,Guerrilla Games,Sony Interactive Entertainment,2/18/2022
Hot Wheels Unleashed,Racing,Milestone,Milestone,9/30/2021
Hot Wheels Unleashed 2: Turbocharged,Racing,Milestone,Milestone,10/19/2023
Hotel Life: A Resort Simulator,Business simulation,RingZero Game Studio,Nacon,8/26/2021
Hunter's Arena: Legends,Massively multiplayer online role-playing,Mantisco,Mantisco,8/3/2021
Human: Fall Flat,Puzzle-platform,No Brakes Games,Curve Digital,6/24/2021
I Am Dead,Adventure,Hollow Ponds,Annapurna Interactive,8/9/2021
Immortals Fenyx Rising,Action-adventure,Ubisoft Quebec,Ubisoft,12/3/2020
Infliction: Extended Cut,"Adventure
horror",Caustic Reality,Blowfish Studios,12/22/2020
In Rays of the Light,Action-adventure,Sergey Noskov,Sometimes You,3/17/2021
In Sound Mind,Psychological Horror,We Create Stuff,Modus Games,8/3/2021
Iron Harvest,Real-time strategy,King Art Games,Deep Silver,10/26/2021
It Takes Two,"Action-adventure
platform",Hazelight Studios,Electronic Arts,3/26/2021
Jett: The Far Shore,Action-adventure,"Superbrothers
Pine Scented",Superbrothers,10/5/2021
JoJo's Bizarre Adventure: All Star Battle R,Fighting,CyberConnect2,Bandai Namco Entertainment,9/2/2022
Journey to the Savage Planet,First-person shooter,Raccoon Logic,505 Games,2/14/2023
Judgment,Action-adventure,Ryu Ga Gotoku Studio,Sega,4/23/2021
A Juggler's Tale,Platform,Kaleidoscube,Mixtvision Games,9/29/2021
Jump Challenge!,Arcade,Source Byte,Source Byte,11/18/2022
Jurassic World Evolution 2,Business simulation,Frontier Developments,Frontier Developments,11/9/2021
Just Dance 2021,Rhythm,Ubisoft Paris,Ubisoft,11/24/2020
Just Dance 2022,Rhythm,Ubisoft Paris,Ubisoft,11/4/2021
Just Dance 2023 Edition,Rhythm,Ubisoft Paris,Ubisoft,11/22/2022
Jydge,Shooter,10tons,10tons,11/19/2020
Kao the Kangaroo,Platform,Tate Multimedia,Tate Multimedia,5/27/2022
Kena: Bridge of Spirits,Action-adventure,Ember Lab,Ember Lab,9/21/2021
Kerbal Space Program 2,Space flight simulation,Intercept Games,Private Division,2/24/2023
Kerbal Space Program: Enhanced Edition,Space flight simulation,Squad,Private Division,9/24/2021
KeyWe,Puzzle,Stonewheat & Sons,Sold Out,8/31/2021
King Oddball,Puzzle,10tons,10tons,11/12/2020
The King of Fighters XV,Fighting,SNK,SNK,2/17/2022
Kingdom of Arcadia,Action-adventure,Spoonbox Studio,EastAsiaSoft,4/14/2021
Kitaria Fables,"Action role-playing
farming simulation",Twin Hearts,PQube,9/2/2021
Klonoa Phantasy Reverie Series,Platform,Monkey Craft,Bandai Namco Entertainment,7/7/2022
Knockout City,Sports,Velan Studios,Electronic Arts,5/20/2021
The Last of Us Part I,Action-adventure,Naughty Dog,Sony Interactive Entertainment,9/2/2022
The Last of Us Part II Remastered,Action-adventure,Naughty Dog,Sony Interactive Entertainment,1/19/2024
The Last Stand: Aftermath,Roguelike,Con Artist Games,Armor Games Studios,11/16/2021
Last Stop,Adventure,Variable State,Annapurna Interactive,7/22/2021
The Last Worker,Adventure,"Oiffy
Wolf & Wood",Wired Productions,3/30/2023
The Legend of Heroes: Trails into Reverie,Role-playing,Nihon Falcom,NIS America,7/7/2023
Lego Star Wars: The Skywalker Saga,Action-adventure,Traveller's Tales,WB Games,4/5/2022
Lemnis Gate,First-person shooter,Ratloop Games Canada,Frontier Foundry,9/28/2021
Lies of P,"Soulslike
action role-playing",Round 8 Studio,Neowiz,9/19/2023
Life Is Strange Remastered Collection,Graphic adventure,"Dontnod Entertainment
Deck Nine",Square Enix,2/1/2022
Life Is Strange: True Colors,Graphic adventure,Deck Nine,Square Enix,9/10/2021
Like a Dragon: Infinite Wealth,Role-playing,Ryu Ga Gotoku Studio,Sega,1/26/2024
Like a Dragon Gaiden: The Man Who Erased His Name,Action-adventure,Ryu Ga Gotoku Studio,Sega,11/9/2023
Like a Dragon: Ishin!,Action-adventure,Ryu Ga Gotoku Studio,Sega,2/21/2023
Lisa: Definitive Edition,Role-playing,Dingaling Productions,Serenity Forge,7/18/2023
Little Nightmares II,"Puzzle-platformer
survival horror",Tarsier Studios,Bandai Namco Entertainment,8/25/2021
The Lord of the Rings: Gollum,Action-adventure,Daedalic Entertainment,Daedalic Entertainment,5/25/2023
Lords of the Fallen Remake,Action role-playing,Hexworks,CI Games,10/13/2023
Lost in Random,Action-adventure,Zoink,Electronic Arts,9/10/2021
Lost Judgment,Action-adventure,Ryu Ga Gotoku Studio,Sega,9/24/2021
Madden NFL 21,Sports,EA Tiburon,Electronic Arts,12/4/2020
Madden NFL 22,Sports,EA Tiburon,Electronic Arts,8/20/2021
Madden NFL 23,Sports,EA Tiburon,Electronic Arts,8/19/2022
Madden NFL 24,Sports,EA Tiburon,EA Sports,8/18/2023
Maid of Sker,Survival horror,Wales Interactive,Wales Interactive,5/26/2021
The Making of Karateka,,Digital Eclipse,Digital Eclipse,8/29/2023
Maneater,Action role-playing,"Tripwire Interactive
Blindside Interactive",Tripwire Interactive,11/12/2020
Manifold Garden,Puzzle,William Chyr Studio,William Chyr Studio,5/20/2021
Maquette,Puzzle,Graceful Decay,Annapurna Interactive,3/2/2021
Martha Is Dead,Psychological horror,LKA,Wired Productions,2/24/2022
Matchpoint: Tennis Championships,Sports,Torus Games,Kalypso Media,6/6/2022
MechWarrior 5: Mercenaries,Vehicle simulation,Piranha Games,Piranha Games,9/23/2021
The Medium,Psychological horror,Bloober Team,Bloober Team,9/3/2021
A Memoir Blue,Interactive drama,Cloisters Interactive,Annapurna Interactive,3/24/2022
Metal: Hellsinger,"First-person shooter
rhythm",The Outriders,Funcom,9/15/2022
Metro Exodus Complete Edition,"First-person shooter
survival horror",4A Games,Deep Silver,6/18/2021
Marvel's Midnight Suns,Tactical role-playing,Firaxis Games,2K,12/2/2022
MLB The Show 21,Sports,San Diego Studio,Sony Interactive Entertainment,4/20/2021
MLB The Show 22,Sports,San Diego Studio,Sony Interactive Entertainment,4/5/2022
MLB The Show 23,Sports,San Diego Studio,Sony Interactive Entertainment,3/28/2023
Mobile Suit Gundam: Battle Operation 2,Third-person shooter,Bandai Namco Studios,Bandai Namco Entertainment,1/28/2021
Mobile Suit Gundam: Battle Operation Code Fairy Volume 1,Action,Bandai Namco Studios,Bandai Namco Entertainment,11/5/2021
Mobile Suit Gundam: Battle Operation Code Fairy Volume 2,Action,Bandai Namco Studios,Bandai Namco Entertainment,11/19/2021
Mobile Suit Gundam: Battle Operation Code Fairy Volume 3,Action,Bandai Namco Studios,Bandai Namco Entertainment,12/3/2021
Monark,Role-playing,Lancarse,"JP: FuRyu
WW: NIS America",2/22/2022
Monopoly Madness,Board game,Engine Software,Ubisoft,12/9/2021
Monster Energy Supercross: The Official Videogame 4,Racing,Milestone,Milestone,3/11/2021
Monster Hunter Rise,Action role-playing,Capcom,Capcom,1/20/2023
Monster Truck Championship,Racing,Maximum Games,Maximum Games,3/16/2021
Mortal Kombat 1,Fighting,NetherRealm Studios,WB Games,9/19/2023
Mortal Kombat 11,Fighting,NetherRealm Studios,WB Games,11/17/2020
Mortal Shell: Enhanced Edition,Action role-playing,Cold Symmetry,Playstack,3/4/2021
MotoGP 21,Racing,Milestone,Milestone,4/22/2021
Mr. Driller Drill Land,Puzzle,Bandai Namco Entertainment,Bandai Namco Entertainment,11/4/2021
MultiVersus,Fighting,Player First Games,WB Games,7/26/2022
Mundaun,"Adventure
horror",Hidden Fields,MVM Interactive,3/16/2021
MXGP 2020,Racing,Milestone,Milestone,1/14/2021
My Time at Sandrock,"Role-playing
simulation",Pathea Games,Pathea Games,9/26/2023
Naruto x Boruto: Ultimate Ninja Storm Connections,Fighting,CyberConnect2,Bandai Namco Entertainment,11/17/2023
NBA 2K21,Sports,Visual Concepts,2K Sports,11/12/2020
NBA 2K22,Sports,Visual Concepts,2K Sports,9/10/2021
NBA 2K23,Sports,Visual Concepts,2K Sports,9/9/2022
NBA 2K24,Sports,Visual Concepts,2K Sports,9/8/2023
Need for Speed Unbound,Racing,Criterion Games,Electronic Arts,12/2/2022
Necromunda: Hired Gun,First-person shooter,Streum On Studio,Focus Home Interactive,6/1/2021
Neptunia re★Verse,Role-playing,Compile Heart,Compile Heart,6/8/2021
Neptunia Shooter,Shoot 'em up,Idea Factory International,Idea Factory,6/8/2021
Neptunia: Sisters vs Sisters,Role-playing,Compile Heart,Idea Factory,1/24/2023
Nerf Legends,First-person shooter,Fun Labs,"NA: GameMill Entertainment
EU: Maximum Games
FRA: Just For Games",11/19/2021
Nexomon,Role-playing,Vewo Interactive,PQube,9/17/2021
NHL 22,Sports,EA Vancouver,Electronic Arts,10/15/2021
NHL 23,Sports,EA Vancouver,Electronic Arts,10/14/2022
NHL 24,Sports,EA Vancouver,Electronic Arts,10/13/2023
Nickelodeon All-Star Brawl,Fighting,"Fair Play Labs
Ludosity","NA: GameMill Entertainment
EU: Maximum Games
FRA: Just For Games",10/5/2021
Nickelodeon All-Star Brawl 2,Fighting,Fair Play Labs,"NA: GameMill Entertainment
EU: Maximum Games",11/7/2023
Nickelodeon Kart Racers 3: Slime Speedway,Kart racing,Bamtang Games,"NA: GameMill Entertainment
EU: Maximum Games",10/7/2022
Nioh Remastered,"Action role-playing
hack and slash",Team Ninja,"Sony Interactive Entertainment
Koei Tecmo",2/5/2021
Nioh 2 Remastered,"Action role-playing
hack and slash",Team Ninja,"Sony Interactive Entertainment
Koei Tecmo",2/5/2021
Nobody Saves the World,Action role-playing,Drinkbox Studios,Drinkbox Studios,4/14/2022
No Man's Sky,"Action-adventure
survival",Hello Games,Hello Games,11/12/2020
No More Heroes III,Action-adventure,Grasshopper Manufacture,Marvelous,10/10/2022
Nour: Play With Your Food,Exploration,Terrifying Jellyfish,Panic,9/12/2023
Observer: System Redux,Psychological horror,Bloober Team,Aspyr,11/12/2020
Octopath Traveler II,Role-playing,"Acquire
Square Enix",Square Enix,2/24/2023
Oddworld: Soulstorm,Platform,Oddworld Inhabitants,Oddworld Inhabitants,4/6/2021
OlliOlli World,Sports,Roll7,Private Division,2/8/2022
One Piece Odyssey,Role-playing,ILCA,Bandai Namco Entertainment,1/13/2023
Open Roads,Mystery-thriller,Fullbright,Annapurna Interactive,2/22/2024
Operation: Tango,Adventure,Clever Plays,Clever Plays,6/1/2021
Orcs Must Die! 3,Tower defense,Robot Entertainment,Robot Entertainment,7/23/2021
Outbreak,Horror,Dead Drop Studios,Dead Drop Studios,1/14/2021
Outbreak: Epidemic,Horror,Dead Drop Studios,Dead Drop Studios,12/24/2020
Outbreak: Lost Hope,Horror,Dead Drop Studios,Dead Drop Studios,1/7/2021
Outbreak: The New Nightmare,Horror,Dead Drop Studios,Dead Drop Studios,12/17/2020
Outbreak: The Nightmare Chronicles,Horror,Dead Drop Studios,Dead Drop Studios,12/31/2020
Outcast 2: A New Beginning,Action-adventure,Appeal,THQ Nordic,3/15/2024
Outriders,Third-person shooter,People Can Fly,Square Enix,4/1/2021
Overcooked! All You Can Eat,"Action
family","Ghost Town Games
Team17",Team17,11/12/2020
Override 2: Super Mech League,Beat 'em up,Modus Studios Brazil,Modus Games,12/22/2020
Panda Hero Remastered,Platform,Markt & Technik,Markt & Technik,1/22/2021
Park Beyond,Construction and management simulation,Limbic Entertainment,Bandai Namco Entertainment,6/16/2023
The Pathless,Action-adventure,Giant Squid,Annapurna Interactive,11/12/2020
The Pedestrian,Puzzle platformer,Skookum Arts,Skookum Arts,1/29/2021
The Persistence Enhanced,Action-adventure,Firesprite,Perp Games,6/4/2021
Persona 3 Reload,"Role-playing
social simulation",P-Studio,Sega,2/2/2024
Persona 5 Royal,Role-Playing,Atlus,Sega,10/21/2022
Persona 5 Tactica,Tactical Role-Playing,P-Studio,Sega,11/17/2023
Payday 3,First-person shooter,Starbreeze Studios,Deep Silver,9/21/2023
Paperman: Adventure Delivered,"Action game
Indie game
Casual game",Secret Item Games,Mindscape,9/21/2023
Paleo Pines,"Role-playing game
Indie game
Life simulation game
Adventure game
Casual game
Simulation Game",Italic Pig,Modus Games,9/26/2023
Ping Redux,Arcade,Nami Tentou,Nami Tentou,2/25/2021
A Plague Tale: Innocence,"Action-adventure
stealth
survival horror",Asobo Studio,Focus Home Interactive,7/6/2021
A Plague Tale: Requiem,"Action-adventure
stealth
survival horror",Asobo Studio,Focus Home Interactive,10/17/2022
Planet Coaster: Console Edition,Construction and management simulation,Frontier Developments,Frontier Developments,11/12/2020
Plumbers Don't Wear Ties,Visual novel,United Pixtures,Limited Run Games,9/22/2023
Poker Club,Card & board,Ripstone,Ripstone,11/20/2020
Port Royale 4,Real-time strategy,Gaming Minds Studios,Kalypso Media,9/10/2021
Praey for the Gods,"Action-adventure
survival",No Matter Studios,No Matter Studios,12/14/2021
PAW Patrol World,"Adventure game
Action game",3DClouds,Outright Games,9/29/2023
Paper Beast: Enhanced Edition,"Adventure game
Indie game
Puzzle
Simulation video game
Casual game",Pixel Reef,Plug In Digital,9/27/2023
Pumpkin Jack,Action-adventure game,Nicolas Meyssonnier,Headup Games,10/27/2021
Puyo Puyo Tetris 2,Puzzle,Sonic Team,Sega,12/8/2020
Puzzle Bobble 3D: Vacation Odyssey,Puzzle,ININ Games,Taito Corporation,10/5/2021
Quake,First-person shooter,"id Software
Nightdive Studios",Bethesda Softworks,10/12/2021
Quantum Error,First-person shooter,TeamKill Media,TeamKill Media,11/3/2023
R-Type Final 3 Evolved,Shoot 'em up,Granzella,"JP: Granzella
WW: NIS America",4/25/2023
Ratchet & Clank: Rift Apart,"Action-adventure
platform",Insomniac Games,Sony Interactive Entertainment,6/11/2021
Record of Lodoss War: Deedlit in Wonder Labyrinth,Metroidvania,"Team Ladybug
Why So Serious?",Playism,12/16/2021
Recompile,Platformer,Phigames,Phigames,8/19/2021
Redout 2,Racing,Saber Interactive,34BigThings,6/16/2022
Relayer,Tactical role-playing,Kadokawa Games,"JP: Kadokawa Games
WW: Clouded Leopard Entertainment",3/24/2022
Roblox,"Game creation system
massively multiplayer online",Roblox Corporation,Roblox Corporation,10/10/2023
Renzo Racer,"Arcade
racing",EnsenaSoft,Joindots,1/25/2021
Resident Evil 2,Survival horror,Capcom,Capcom,6/13/2022
Resident Evil 3,Survival horror,Capcom,Capcom,6/13/2022
Resident Evil 4,Survival horror,Capcom,Capcom,3/24/2023
Resident Evil 7: Biohazard,Survival horror,Capcom,Capcom,6/13/2022
Resident Evil Village,Survival horror,Capcom,Capcom,5/7/2021
Returnal,Third-person shooter,Housemarque,Sony Interactive Entertainment,4/30/2021
Ride 4,Racing,Milestone,Milestone,1/21/2021
Riders Republic,Racing,Ubisoft Annecy,Ubisoft,10/28/2021
The Riftbreaker,Action-adventure,EXOR Studios,EXOR Studios,10/14/2021
RiMS Racing,Racing,RaceWard Studio,Nacon,8/19/2021
Rise of the Ronin,Action role-playing,Team Ninja,Sony Interactive Entertainment,3/22/2024
Rise of the Slime,"Adventure
roguelike",Bunkovsky Games,Playstack,5/28/2021
River City Girls,Beat 'em up,WayForward,Arc System Works,1/18/2022
River City Girls 2,Beat 'em up,WayForward,Arc System Works,12/15/2022
RoboCop: Rogue City,First-person shooter,Teyon,Nacon,11/2/2023
Rogue Company,Third-person shooter,First Watch Games,Hi-Rez Studios,3/30/2021
