Game_Title,Genres,Developers,Publishers,Release_date
Tchia,Adventure,Awaceb,Awaceb,3/21/2023
Tekken 8,Fighting,Bandai Namco Studios,Bandai Namco Entertainment,1/26/2024
Truck Driver: The American Dream,Simulation video game,Kyodai Limited,Soedesco,9/26/2023
Temtem,"Adventure
creature collection",Crema,Humble Games,12/8/2020
Terminator: Resistance Enhanced,First-person shooter,Teyon,Reef Entertainment,4/30/2021
Tesla Force,Shooter,10tons,10tons,11/24/2020
Tesla vs Lovecraft,"Action
arcade
shooter",10tons,10tons,12/4/2020
Test Drive Unlimited Solar Crown,Racing,Kylotonn,Nacon,3/31/2024
Tin Hearts,Puzzle,Rogue Sun,Wired Productions,5/16/2023
Tiny Tina's Wonderlands,"Action role-playing
fantasy
shooter",Gearbox Software,2K,3/25/2022
TOEM,Adventure,Something We Made,Something We Made,9/17/2021
Tom Clancy's Rainbow Six Extraction,Tactical shooter,Ubisoft Montreal,Ubisoft,1/20/2022
Tom Clancy's Rainbow Six Siege,Tactical shooter,Ubisoft Montreal,Ubisoft,12/1/2020
Tomb Raider I–III Remastered,"Shooter game, Puzzle, Adventure game, Platform game, Adventure",Aspyr,Aspyr,2/14/2024
Tony Hawk's Pro Skater 1 + 2,Sports,Vicarious Visions,Activision,3/26/2021
Tormented Souls,Survival horror,"Dual Effect
Abstract Digital",PQube,8/27/2021
Touhou Luna Nights,Action-adventure,"Team Ladybug, Why So Serious?",Playism,1/25/2024
The Touryst,Action-adventure,Shin'en Multimedia,Shin'en Multimedia,9/9/2021
Trek to Yomi,Action-adventure,Flying Wild Hog,Devolver Digital,5/5/2022
Tribes of Midgard,Survival,Norsfell,Gearbox Publishing,7/27/2021
Trifox,Action-adventure,Glowfish Interactive,Big Sugar,11/23/2022
Twin Robots: Ultimate Edition,"Action-adventure
puzzle",Thinice Games,Ratalaika Games,12/7/2020
Two Point Campus,Business simulation,Two Point Studios,Sega,8/9/2022
Trepang2,First-person shooter,Trepang Studios,Team17,10/2/2023
Uncharted: Legacy of Thieves Collection,"Action-adventure
third-person shooter
platformer",Naughty Dog,Sony Interactive Entertainment,1/28/2022
UFC 5,Fighting,EA Sports,Electronic Arts Inc.,10/26/2023
Undead Horde,"Role-playing
real-time strategy",10tons,10tons,11/12/2020
Undernauts: Labyrinth of Yomi,"Role-playing
rougelike",Experience,Aksys Games,8/11/2022
Valkyrie Elysium,Action role-playing,Soleil,Square Enix,9/29/2022
Vampire: The Masquerade – Bloodhunt,Battle royale,Sharkmob,Sharkmob,4/27/2022
Vampire: The Masquerade – Swansong,Action role-playing,Big Bad Wolf,Nacon,5/19/2022
