Author,Timestamp,Comment,Article
Steve*007,"17 November, 2023","So looking forward to MW3 but after reading the reviews and talking to friends who have purchased I will give this one a miss.
Such a shame the campaign in particular has been a missed opportunity ",modern-warfare-3-season-1-detailed-with-info-on-modes-maps-and-warzones-urzikstan-map
ItchyNutz,"18 November, 2023","If you got friends that play, it’s worth it. If you don’t, reviews are accurate then",modern-warfare-3-season-1-detailed-with-info-on-modes-maps-and-warzones-urzikstan-map
frosty1561,"17 November, 2023",Skipping this one unless it goes on sale for like $30 ,modern-warfare-3-season-1-detailed-with-info-on-modes-maps-and-warzones-urzikstan-map
SpaceJonk,"17 November, 2023","""Meat"".... lol",modern-warfare-3-season-1-detailed-with-info-on-modes-maps-and-warzones-urzikstan-map
Mr.Tech,"19 November, 2023",All.of the guns are shooting marshmallows.. crazy,modern-warfare-3-season-1-detailed-with-info-on-modes-maps-and-warzones-urzikstan-map
guitargladiator,"18 November, 2023",bring back carnival and the rest of the mw2 '09 dlc maps you cowards,modern-warfare-3-season-1-detailed-with-info-on-modes-maps-and-warzones-urzikstan-map
RealSimple,"17 November, 2023",Null,modern-warfare-3-season-1-detailed-with-info-on-modes-maps-and-warzones-urzikstan-map
Lionheart68,"18 November, 2023","Bro are you playing another Switch version? I am far enough in the game and I have no issues like you are mentioning on my Switch Lite. It looks like some people hate the Switch and constantly trying to trash it. The Switch is still the best selling console. The only issue I have is in/out shops lo...
See more",hogwarts-legacy-nintendo-switch-performance-review
Stinkybathtub,"19 November, 2023","Its great that the kids that have a switch and dont have a PlayStation or Xbox or gaming pc get to play this, but honestly this is the type of game that loves next gen consoles, it just looks stunning walking around that amazing castle they built, the world truly is the best part of this game, and ...
See more",hogwarts-legacy-nintendo-switch-performance-review
SolarDeity,"19 November, 2023","I can’t believe they were able to do even this much with the Switch. It really is extremely impressive. 
This is a machine with 8 year old hardware, and we’re not talking about top of line 8 year old hardware either.",hogwarts-legacy-nintendo-switch-performance-review
carmelapples,"20 November, 2023",I just play 1st party and indie games on Switch. I rather play a cheaper and better version of 3rd party games on other consoles. ,hogwarts-legacy-nintendo-switch-performance-review
ducets4donuts,"17 November, 2023","I'm halfway through the game on Switch and it runs pretty well. The graphics suffer a lot, they're washed out, but it runs well enough. I'm really enjoying the game. It should have gotten nominated at the Keighleys. Amazing story and the combat is actually good? That surprised me the most.",hogwarts-legacy-nintendo-switch-performance-review
InZain86,"17 November, 2023","Omg got some Aladdin vibes with the whole “Phenomenal cosmic power, itty-bitty framerate.”  😂🤣 Robert Williams you are missed. RIP",hogwarts-legacy-nintendo-switch-performance-review
